Codigo_distrito,Nombre_distrito,Nombre_barrio,Nombre_calle,Dia_semana,Descripcion_tipo_dia,Descripcion_turno,Numero_muertos,Numero_lesionados_leves,Numero_lesionados_graves,Numero_victimas,Numero_vehiculos_implicados,Longitud,Latitud,fecha
3,Sants-Montjuïc,la Marina del Prat Vermell,Número 3 Zona Franca / E Zona Franca              ,Dl,Laboral,Matí,0,1,0,1,2,2.129612,41.336163,2018-01-08 07:00:00
3,Sants-Montjuïc,el Poble-sec,Olímpic                                           ,Dg,Laboral,Tarda,0,0,0,0,2,2.152513,41.362326,2018-01-28 19:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,A Zona Franca / Número 6 Zona Franca              ,Dc,Laboral,Matí,0,1,0,1,2,2.1328169999999997,41.323437,2018-07-04 13:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Número 3 Zona Franca / E                          ,Dg,Laboral,Matí,0,2,0,2,1,2.130752,41.33549,2018-02-04 07:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Número 3 Zona Franca                              ,Dv,Laboral,Matí,0,0,0,0,2,2.124529,41.337668,2018-09-14 06:00:00
1,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Méndez Núñez                                      ,Dl,Laboral,Matí,0,0,0,0,1,2.1776009999999997,41.389788,2018-03-19 09:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Número 6 Zona Franca / A Zona Franca              ,Dv,Laboral,Matí,0,1,0,1,2,2.1328169999999997,41.323437,2018-09-21 06:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Número 6 Zona Franca / A Zona Franca              ,Dv,Laboral,Tarda,0,1,0,1,2,2.1328169999999997,41.323437,2018-10-26 18:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Número 6 Zona Franca                              ,Dj,Laboral,Matí,0,1,0,1,2,2.123335,41.323498,2018-12-13 06:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Número 5 Zona Franca                              ,Dj,Laboral,Nit,0,1,1,2,2,2.131682,41.323944,2018-09-20 23:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Número 6 Zona Franca / E Zona Franca              ,Dj,Laboral,Tarda,0,1,0,1,2,2.1219639999999997,41.323741,2018-10-11 14:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Número 6 Zona Franca / E Zona Franca              ,Ds,Laboral,Matí,0,2,0,2,3,2.1219639999999997,41.323741,2018-03-17 08:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Número 6 Zona Franca                              ,Dl,Laboral,Matí,0,1,0,1,2,2.12082,41.324298,2018-05-14 10:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Número 6 Zona Franca / F Zona Franca              ,Dl,Laboral,Nit,0,4,0,4,4,2.1194439999999997,41.324476000000004,2018-10-08 05:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Número 6 Zona Franca                              ,Dj,Laboral,Matí,0,1,0,1,2,2.1183669999999997,41.324533,2018-05-10 08:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Longitudinal 5                                    ,Dv,Laboral,Matí,0,1,0,1,2,2.117136,41.326796,2018-05-11 10:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,A Zona Franca                                     ,Dm,Laboral,Tarda,0,3,0,3,2,2.1346939999999996,41.325806,2018-01-16 14:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,A Zona Franca                                     ,Dc,Laboral,Matí,0,1,0,1,2,2.138722,41.332077000000005,2018-04-11 07:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Número 6 Zona Franca / K                          ,Dm,Laboral,Tarda,0,4,0,4,2,2.114227,41.326496999999996,2018-03-13 18:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Número 6 Zona Franca                              ,Dm,Laboral,Matí,0,0,0,0,2,2.114227,41.326496999999996,2018-02-27 13:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Número 6 Zona Franca                              ,Dj,Laboral,Matí,0,1,0,1,2,2.117598,41.325241999999996,2018-10-11 13:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Número 4 Zona Franca                              ,Dm,Laboral,Tarda,0,1,0,1,2,2.1436029999999997,41.33575,2018-06-19 18:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,A Zona Franca / Número 4 Zona Franca              ,Dj,Laboral,Matí,0,2,0,2,2,2.1359310000000002,41.328537,2018-09-06 13:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Longitudinal 1                                    ,Dc,Laboral,Matí,0,1,0,1,3,2.115847,41.329428,2018-11-07 10:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Transversal 11                                    ,Dm,Laboral,Matí,0,1,0,1,2,2.1159939999999997,41.328539,2018-01-30 06:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,A Zona Franca                                     ,Dv,Laboral,Nit,0,2,0,2,2,2.136109,41.329141,2018-04-27 05:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,A Zona Franca / Número 4 Zona Franca              ,Dv,Laboral,Tarda,0,1,0,1,2,2.1359310000000002,41.328537,2018-02-16 14:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Transversal 11 / Major de Mercabarna              ,Dm,Laboral,Matí,0,1,0,1,1,2.114155,41.329001,2018-01-16 09:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Longitudinal 9                                    ,Dm,Laboral,Tarda,0,0,1,1,1,2.120804,41.329149,2018-07-03 15:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Transversal 9 / C. Longitudinal  5                ,Dv,Laboral,Tarda,0,1,0,1,2,2.118089,41.329669,2018-11-02 16:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Transversal 9                                     ,Dv,Laboral,Matí,0,1,0,1,2,2.117502,41.330028000000006,2018-12-07 11:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Número 3 Zona Franca / D Zona Franca              ,Dv,Laboral,Matí,0,1,0,1,2,2.1320490000000003,41.335319,2018-03-16 07:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Transversal 9                                     ,Dm,Laboral,Matí,0,1,0,1,1,2.1210709999999997,41.328481,2018-10-09 13:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Transversal 9                                     ,Dl,Laboral,Matí,0,1,0,1,1,2.117502,41.330028000000006,2018-03-05 11:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Transversal 9 / Longitudinal 3                    ,Dj,Laboral,Matí,0,1,0,1,1,2.117502,41.330028000000006,2018-04-26 13:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Longitudinal 5                                    ,Dl,Laboral,Nit,0,0,0,0,2,2.1191470000000003,41.3305,2018-05-07 23:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,k                                                 ,Dv,Laboral,Matí,0,1,0,1,2,2.111376,41.330626,2018-12-28 07:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Transversal 9 / Major de Mercabarna               ,Dl,Laboral,Tarda,0,3,0,3,2,2.118089,41.329669,2018-08-06 17:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Transversal 7                                     ,Dv,Laboral,Matí,0,1,0,1,2,2.117249,41.330928,2018-05-04 09:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Major de Mercabarna / Transversal 7               ,Dm,Laboral,Tarda,0,2,0,2,2,2.115598,41.331359,2018-04-03 18:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Número 4 Zona Franca                              ,Dv,Laboral,Tarda,0,2,0,2,4,2.1284919999999996,41.33135,2018-09-28 15:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Major de Mercabarna / Transversal 7               ,Dm,Laboral,Matí,0,2,0,2,2,2.1176220000000003,41.334421999999996,2018-12-04 08:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Número 4 Zona Franca / D Zona Franca              ,Dm,Laboral,Matí,0,1,0,1,2,2.1293159999999998,41.330876,2018-07-10 09:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Número 4 Zona Franca / E Zona Franca              ,Dl,Laboral,Tarda,0,1,0,1,1,2.126894,41.331732,2018-10-29 15:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,A Zona Franca / Número 3 Zona Franca              ,Dl,Laboral,Tarda,0,1,0,1,2,2.138671,41.332974,2018-03-12 14:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,A Zona Franca / Número 3 Zona Franca              ,Dm,Laboral,Matí,0,0,0,0,3,2.138671,41.332974,2018-10-02 06:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,A Zona Franca                                     ,Dc,Laboral,Matí,0,0,1,1,2,2.1378619999999997,41.332074,2018-05-16 09:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Major de Mercabarna                               ,Dm,Laboral,Matí,0,1,0,1,2,2.114873,41.330753,2018-09-04 10:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Tranversal 8 / Longitudinal 8                     ,Dl,Laboral,Matí,0,1,0,1,1,2.113426,41.33218,2018-12-10 11:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Transversal 5                                     ,Dv,Laboral,Matí,0,1,0,1,1,2.117138,41.333131,2018-04-20 11:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Transversal 5 / Longitudinal 3                    ,Dj,Laboral,Matí,0,1,0,1,1,2.117373,41.332873,2018-01-04 09:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,B Zona Franca                                     ,Dv,Laboral,Tarda,0,1,0,1,3,2.1359619999999997,41.332423999999996,2018-02-23 21:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Major de Mercabarna                               ,Ds,Laboral,Nit,0,1,0,1,2,2.116278,41.332829,2018-10-06 03:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Longitudinal 3                                    ,Dc,Laboral,Matí,0,1,0,1,2,2.1181959999999997,41.331621999999996,2018-12-19 13:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Número 3 Zona Franca                              ,Dl,Laboral,Matí,0,1,0,1,2,2.137414,41.333092,2018-12-17 08:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,A Zona Franca                                     ,Ds,Laboral,Nit,0,1,0,1,1,2.1378619999999997,41.332074,2018-08-04 00:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,D Zona Franca                                     ,Dj,Laboral,Tarda,0,1,0,1,2,2.130789,41.332959,2018-02-15 21:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Longitudinal 10 / Transversal 6                   ,Dj,Laboral,Matí,0,1,0,1,2,2.112578,41.333323,2018-02-15 08:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,E Zona Franca                                     ,Dj,Laboral,Tarda,0,1,0,1,2,2.128002,41.333869,2018-12-27 14:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Número 3 Zona Franca                              ,Dm,Laboral,Matí,0,1,0,1,2,2.1361,41.333614000000004,2018-02-20 10:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,k zona franca / calle 3                           ,Dv,Laboral,Tarda,0,1,0,1,2,2.1110290000000003,41.333773,2018-04-13 15:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Transversal 6                                     ,Dc,Laboral,Tarda,0,1,0,1,2,2.112116,41.334103999999996,2018-10-10 15:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Transversal 2                                     ,Dj,Laboral,Matí,0,1,0,1,2,2.116234,41.334728999999996,2018-05-03 13:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Número 6                                          ,Dj,Laboral,Tarda,0,1,0,1,2,2.137942,41.341843,2018-05-03 16:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Número 3 Zona Franca                              ,Dc,Laboral,Matí,0,2,0,2,5,2.1358,41.334134999999996,2018-10-10 10:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Número 3 Zona Franca / E Zona Franca              ,Dg,Laboral,Matí,0,1,0,1,2,2.129612,41.336163,2018-03-25 13:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Número 3 Zona Franca / Lletra E                   ,Dc,Laboral,Matí,0,0,0,0,3,2.151883,41.328179,2018-04-25 09:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Número 3 Zona Franca / E Zona Franca              ,Dj,Laboral,Tarda,0,1,0,1,2,2.129612,41.336163,2018-06-14 17:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Feixa Llarga                                      ,Dl,Laboral,Tarda,0,2,0,2,2,2.111166,41.335539000000004,2018-07-02 17:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Número 3 Zona Franca / E Zona Franca              ,Dv,Laboral,Nit,0,1,0,1,2,2.129612,41.336163,2018-11-09 05:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,A Zona Franca                                     ,Dc,Laboral,Tarda,0,1,0,1,2,2.141039,41.337143,2018-02-28 19:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Número 3 Zona Franca / E Zona Franca              ,Dl,Laboral,Matí,0,1,0,1,2,2.129612,41.336163,2018-11-26 06:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Feixa Llarga                                      ,Dl,Laboral,Matí,0,1,0,1,1,2.107912,41.338411,2018-03-26 13:00:00
